WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Do Gonbadan,IR,30.3586,50.7981,59.09,88,0,0.0,clear sky
206,Kaiyuan,CN,23.6977,103.3037,59.25,96,86,5.32,overcast clouds
207,Pasni,PK,25.2631,63.471,78.03,71,0,3.74,clear sky
208,East London,ZA,-33.0153,27.9116,65.34,82,0,4.61,clear sky
209,Nefteyugansk,RU,61.0998,72.6035,-20.4,99,29,6.96,scattered clouds
210,Leningradskiy,RU,69.3833,178.4167,-24.61,97,13,5.64,few clouds
211,Beringovskiy,RU,63.05,179.3167,-1.86,86,39,21.34,scattered clouds
212,Corralillo,CU,22.9819,-80.5856,81.88,71,23,13.06,light rain
213,Hirara,JP,24.8,125.2833,75.83,77,100,16.06,overcast clouds
214,Sharjah,AE,25.3573,55.4033,82.69,54,0,12.66,clear sky
215,Kambarka,RU,56.2694,54.2062,13.59,88,5,1.59,clear sky
216,Sao Filipe,CV,14.8961,-24.4956,76.98,68,100,16.64,overcast clouds
217,Megalopoli,GR,37.4011,22.1422,64.42,91,81,10.27,broken clouds
218,Samarai,PG,-10.6167,150.6667,83.16,78,78,13.56,broken clouds
219,Nanortalik,GL,60.1432,-45.2371,28.58,83,100,12.73,overcast clouds
220,Tilichiki,RU,60.4667,166.1,-2.63,91,77,7.74,broken clouds
221,Auki,SB,-8.7676,160.7034,76.51,83,9,4.52,clear sky
222,Luis Correia,BR,-2.8792,-41.6669,87.8,66,40,13.8,scattered clouds
223,Tuatapere,NZ,-46.1333,167.6833,54.32,94,100,4.47,overcast clouds
224,Kribi,CM,2.95,9.9167,78.53,85,100,9.6,overcast clouds
225,Saint-Joseph,RE,-21.3667,55.6167,75.58,80,19,5.08,few clouds
226,Dukat,RU,62.55,155.55,-10.79,75,33,2.33,scattered clouds
227,Polson,US,47.6936,-114.1632,20.77,77,96,2.73,overcast clouds
228,Bukama,CD,-9.2,25.85,70.32,85,14,1.66,few clouds
229,Itoman,JP,26.1247,127.6694,75.22,78,20,17.27,few clouds
230,Esso,RU,55.9333,158.7,3.94,94,47,5.3,scattered clouds
231,Grand Gaube,MU,-20.0064,57.6608,75.6,70,2,1.99,clear sky
232,Bilibino,RU,68.0546,166.4372,-21.46,100,100,2.42,overcast clouds
233,Ituporanga,BR,-27.4144,-49.6025,82.51,43,98,4.45,overcast clouds
234,Sabha,LY,27.0377,14.4283,67.17,25,5,10.42,clear sky
235,Sola,VU,-13.8833,167.55,75.87,94,19,0.0,few clouds
236,Hamilton,US,39.1834,-84.5333,33.75,34,0,9.22,clear sky
237,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,76,40,20.71,scattered clouds
238,Sehore,IN,23.2,77.0833,62.87,47,3,6.31,clear sky
239,Zhigansk,RU,66.7697,123.3711,-20.11,100,100,6.98,overcast clouds
240,Port Hawkesbury,CA,45.6169,-61.3485,44.91,80,75,12.66,broken clouds
241,Carauari,BR,-4.8828,-66.8958,86.79,66,93,2.3,overcast clouds
242,Bandarbeyla,SO,9.4942,50.8122,79.32,70,100,17.58,overcast clouds
243,Kasongo-Lunda,CD,-6.4667,16.8167,71.67,96,41,2.64,light rain
244,Nezhinka,RU,51.7676,55.3694,21.36,86,100,8.95,overcast clouds
245,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,86,100,16.11,overcast clouds
246,Salinopolis,BR,-0.6136,-47.3561,83.52,67,97,11.92,overcast clouds
247,Palora,EC,-1.7,-77.9333,73.51,75,58,2.26,light rain
248,Beyneu,KZ,45.3167,55.2,49.6,80,100,10.36,overcast clouds
249,Tougue,GN,11.4667,-11.6,70.86,38,19,2.24,few clouds
250,Codrington,AU,-38.2667,141.9667,44.65,81,84,22.48,broken clouds
251,Nantucket,US,41.2835,-70.0995,39.34,45,100,29.21,overcast clouds
252,Pochutla,MX,15.7432,-96.4661,88.83,54,8,6.46,clear sky
253,Lompoc,US,34.6391,-120.4579,69.85,28,0,8.05,clear sky
254,Bagotville,AU,-28.9833,153.4167,66.29,47,100,4.81,overcast clouds
255,Hualmay,PE,-11.0964,-77.6139,68.65,73,88,7.52,overcast clouds
256,Rawson,AR,-43.3002,-65.1023,60.73,48,1,14.81,clear sky
257,Viedma,AR,-40.8135,-62.9967,68.79,27,23,18.1,few clouds
258,Abbeville,FR,50.1,1.8333,53.56,77,100,19.46,light rain
259,Caborca,MX,30.5838,-111.101,65.55,28,0,6.96,clear sky
260,Natal,BR,-5.795,-35.2094,84.85,61,40,14.97,scattered clouds
261,Nishihara,JP,26.1842,127.7558,74.48,78,20,17.27,few clouds
262,Kiama,AU,-34.6833,150.8667,66.25,47,97,13.0,overcast clouds
263,Deputatskiy,RU,69.3,139.9,-21.55,90,87,1.7,overcast clouds
264,Baghdad,IQ,33.3406,44.4009,62.51,59,0,8.05,clear sky
265,Sistranda,NO,63.7256,8.834,30.16,58,0,17.78,clear sky
266,Zhuhai,CN,22.2769,113.5678,75.85,83,0,10.36,clear sky
